Sep=;
DNS Ip; hostname; DNS Organization; whoami 'ns'; ns location; ns distance; whoami 'ecs'; whoami 'ip'; Akamai Edge; Akamai Edge Location; Akamai Edge Distance; Akamai Edge Pretransfer; Netflix Edge; Netflix Edge Location; Netflix Edge Distance; Netflix Edge Pretransfer; Youtube Edge; Youtube Edge Location; Youtube Edge Distance; Youtube Edge Pretransfer
1.0.0.1; one.one.one.one;  AS13335 Cloudflare, Inc.; 172.69.235.72;  Göteborg,SE; 11; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.170.196.176;  Dublin,IE; 28; 152.0; 216.58.211.142;  London,GB; 14; 65.7
1.0.0.2; null;  AS13335 Cloudflare, Inc.; 172.69.235.72;  Göteborg,SE; 11; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.170.196.176;  Dublin,IE; 28; 152.0; 172.217.21.174;  Mountain View,US; 14; 70.3
1.1.1.1; one.one.one.one;  AS13335 Cloudflare, Inc.; 172.69.235.72;  Göteborg,SE; 11; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.246.79.9;  Dublin,IE; 28; 118.2; 172.217.21.174;  Mountain View,US; 14; 70.3
1.1.1.1; one.one.one.one;  AS13335 Cloudflare, Inc.; 172.69.235.72;  Göteborg,SE; 11; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.246.79.9;  Dublin,IE; 28; 118.2; 172.217.21.174;  Mountain View,US; 14; 70.3
1.1.1.2; null;  AS13335 Cloudflare, Inc.; 172.69.235.72;  Göteborg,SE; 11; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.73.148.110;  Dublin,IE; 28; 120.0; 216.58.207.238;  London,GB; 14; 64.9
116.202.176.26; libredns.gr;  AS24940 Hetzner Online GmbH; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
129.250.35.250; x.ns.gin.ntt.net;  AS2914 NTT America, Inc.; 185.84.19.99;  Amsterdam,NL; 13; ; ; 23.206.112.89;  Amsterdam,NL; 12; 71.7; 54.155.246.232;  Dublin,IE; 28; 158.4; 142.250.184.238;  Mountain View,US; 20; 145.2
129.250.35.251; y.ns.gin.ntt.net;  AS2914 NTT America, Inc.; 185.84.19.115;  Amsterdam,NL; 13; ; ; 23.206.112.89;  Amsterdam,NL; 12; 71.7; 54.155.178.5;  Dublin,IE; 28; 124.9; 216.58.212.142;  London,GB; 20; 150.0
130.244.126.100; firewall.lo.se;  AS1257 TELE2; 212.247.9.100;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 18.200.8.190;  Dublin,IE; 27; 120.1; 172.217.20.46;  London,GB; 14; 58.1
141.1.1.1; cns1.cw.net;  AS1273 Vodafone Group PLC; 195.10.35.36;  Stockholm,SE; 11; ; ; 23.32.108.33;  Stockholm,SE; 12; 46.8; 54.246.79.9;  Dublin,IE; 28; 118.2; 216.58.207.238;  London,GB; 14; 64.9
141.1.27.249; euro-cns1.cw.net;  AS1273 Vodafone Group PLC; 195.10.35.44;  Stockholm,SE; 11; ; ; 23.32.108.33;  Stockholm,SE; 12; 46.8; 54.246.79.9;  Dublin,IE; 28; 118.2; 172.217.22.174;  Mountain View,US; 14; 81.9
146.255.56.98; doh-dot.applied-privacy.net;  AS47692 Nessus GmbH; ; ; ; ; ; N/A; ; ; ; N/A; ; ; ; N/A; ; ; 
149.112.112.112; rpz-public-resolver1.rrdns.pch.net;  AS19281 Quad9; 74.63.24.238;  Frankfurt am Main,DE; 9; ; ; 23.45.96.101;  Frankfurt am Main,DE; 9; 62.2; 54.74.73.31;  Dublin,IE; 28; 143.2; 142.250.185.206;  Mountain View,US; 20; 196.5
151.252.139.24; user24.151-252-139.netatonce.net;  AS35706 Net at Once Sweden AB; 217.10.96.9;  Skurup,SE; 11; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.246.79.9;  Dublin,IE; 28; 118.2; 142.250.74.142;  Mountain View,US; 14; 117.3
154.32.105.18; res1.dns.uk.psi.net;  AS4637 Telstra Global; 154.32.105.18;  London,GB; 15; ; ; 104.86.129.208;  London,GB; 11; 128.3; 18.200.8.190;  Dublin,IE; 27; 120.1; 142.250.180.14;  London,GB; 22; 989.3
155.4.12.212; h-12-212.a165.priv.bahnhof.se;  AS8473 Bahnhof AB; ; ; ; ; ; 23.32.108.33;  Stockholm,SE; 12; 46.8; 54.246.79.9;  Dublin,IE; 28; 118.2; 142.250.74.110;  Mountain View,US; 14; 92.8
156.154.70.1; rdns1.ultradns.net;  AS19905 NeuStar, Inc.; 156.154.85.143;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 54.73.148.110;  Dublin,IE; 28; 120.0; 173.194.222.190;  Sosnovyy Bor,RU; 27; 75.7
156.154.70.1; rdns1.ultradns.net;  AS19905 NeuStar, Inc.; 156.154.85.143;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 54.73.148.110;  Dublin,IE; 28; 120.0; 173.194.222.190;  Sosnovyy Bor,RU; 27; 75.7
156.154.70.22; null;  AS19905 NeuStar, Inc.; 156.154.85.145;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 54.160.93.182;  Ashburn,US; 38; 223.6; 142.250.150.190;  Stockholm,SE; 28; 83.1
156.154.71.1; rdns2.ultradns.net;  AS397215 NeuStar, Inc.; 156.154.85.143;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 3.230.129.93;  Ashburn,US; 37; 253.7; 142.250.150.91;  Stockholm,SE; 27; 211.9
156.154.71.22; null;  AS397215 NeuStar, Inc.; 156.154.85.143;  Stockholm,SE; 13; ; ; 2.22.3.60;  Stockholm,SE; 13; 175.0; 3.230.129.93;  Ashburn,US; 37; 253.7; 74.125.131.190;  Sosnovyy Bor,RU; 27; 79.3
158.43.128.1; cache0002.ns.eu.uu.net;  AS702 MCI Communications Services, Inc. d/b/a Verizon Business; 158.43.128.1;  London,GB; 14; ; ; 104.86.129.208;  London,GB; 11; 128.3; 54.73.148.110;  Dublin,IE; 28; 120.0; 142.250.185.110;  Mountain View,US; 20; 126.8
158.43.240.3; cache0005a.ns.eu.uu.net;  AS702 MCI Communications Services, Inc. d/b/a Verizon Business; 158.43.240.3;  London,GB; 14; ; ; 104.86.129.208;  London,GB; 11; 128.3; 18.200.8.190;  Dublin,IE; 27; 120.1; 216.58.212.174;  London,GB; 20; 190.5
158.43.240.4; cache0004.ns.eu.uu.net;  AS702 MCI Communications Services, Inc. d/b/a Verizon Business; 158.43.240.4;  London,GB; 14; ; ; 104.86.129.208;  London,GB; 11; 128.3; 54.170.196.176;  Dublin,IE; 28; 152.0; 216.58.212.238;  London,GB; 22; 164.0
193.101.111.10; cache0702.ns.eu.uu.net;  AS702 MCI Communications Services, Inc. d/b/a Verizon Business; 193.101.111.10;  Frankfurt am Main,DE; 14; ; ; 104.125.18.76;  Frankfurt am Main,DE; 17; 140.0; 54.155.246.232;  Dublin,IE; 28; 158.4; 172.217.16.142;  Mountain View,US; 20; 130.0
193.101.111.20; null;  AS702 MCI Communications Services, Inc. d/b/a Verizon Business; 193.101.111.20;  Frankfurt am Main,DE; 14; ; ; 104.125.18.76;  Frankfurt am Main,DE; 17; 140.0; 52.214.181.141;  Dublin,IE; 27; 206.5; 142.250.186.78;  Frankfurt am Main,DE; 20; 475.2
193.17.47.1; odvr.nic.cz;  AS20701 CZ.NIC, z.s.p.o.; 217.31.204.137;  Říčany,CZ; 14; ; ; 23.75.66.87;  Prague,CZ; 13; 131.3; 54.74.73.31;  Dublin,IE; 28; 143.2; 216.58.201.78;  Mountain View,US; 21; 132.1
193.183.18.21; ns1.atea.se;  AS21060 Atea A/S; 193.183.18.21;  Stockholm,SE; 11; ; ; 23.78.61.14;  Ballerup,DK; 11; 141.4; 54.74.73.31;  Dublin,IE; 28; 143.2; 142.250.74.46;  Mountain View,US; 14; 88.9
